,Date,Activity Type,Activity Title,Session Type,Sesson Title,Start Time,End Time,Jersey No.,Position,Age,Height (cm),Weight (kg),Duration (min),Total Distance (m),Distance/min (m/min),RPE,Injury,Unnamed: 14,Unnamed: 15,Unnamed: 16
32,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47406,CB,30,189,86,40,"1,911.50",47.7,2,No,,,
33,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 17:05,47407,CB,24,188,89,55,"5,096.50",92.6,4,No,,,
34,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 17:05,47409,CM,32,186,78,55,"5,688.50",103.4,6,No,,,
35,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47410,WF,29,185,80,40,"2,552.50",63.8,4,No,,,
36,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47411,CAM,25,186,84,40,"2,241.80",56,2,No,,,
37,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47413,WF,26,166,65,40,"2,639.70",65.9,2,No,,,
38,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47414,CM,30,186,80,40,"2,611.70",65.2,1,No,,,
39,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47415,CM,27,178,75,40,"2,169.70",54.2,2,No,,,
40,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 17:05,47416,FB,23,180,82,55,"5,365.10",97.5,4,No,,,
41,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 17:05,47420,WF,27,164,65,55,"5,490.50",99.8,6,No,,,
42,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 17:05,47422,FB,34,173,86,55,"5,360.80",97.4,5,No,,,
43,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 17:05,47423,CB,36,173,78,55,5783.5,105.1,5,No,,,
44,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47425,FB,30,173,72,40,2322.5,58,4,No,,,
45,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47426,CF,23,188,82,40,2562.6,64,4,No,,,
46,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47427,CDM,30,181,76,40,2546.7,63.6,4,No,,,
47,17/10/2022,Training,Recovery,Full Session,Full Session,17/10/2022 16:10,17/10/2022 16:52,47428,CB,37,180,85,40,1718,42.9,3,No,,,
32,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47407,CB,24,188,89,79,"5,774.80",72.8,4,No,,,
33,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47409,CM,32,186,78,79,"6,649.90",83.8,7,No,,,
34,19/10/2022,Training,Endurance,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47410,WF,29,185,80,79,"5,838.10",73.9,7,Yes,,,
35,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47411,CAM,25,186,84,79,"6,500.60",81.9,3,No,,,
36,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47413,WF,26,166,65,27,"1,617.20",59.9,2,No,,,
37,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47414,CM,30,186,80,79,"6,660.20",83.9,3,No,,,
38,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47415,CM,27,178,75,79,"6,207.30",78.2,4,No,,,
39,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47416,FB,23,180,82,79,"5,927.80",74.7,4,No,,,
40,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47420,WF,27,164,65,79,"6,126.70",77.7,7,No,,,
41,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47422,FB,34,173,86,27,"1,800.10",66.7,4,No,,,
42,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47423,CB,36,173,78,79,"5,914.60",74.5,4,No,,,
43,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47425,FB,30,173,72,79,"6,101.80",76.9,7,No,,,
44,19/10/2022,Training,Endurance ,Full Session,Full Session,19/10/2022 16:00,19/10/2022 18:00,47428,CB,37,180,85,79,"5,532.40",69.7,5,No,,,
36,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47406,CB,30,189,86,67,"3,642.40",54.4,3,No,,,
37,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47407,CB,24,188,89,68,"3,754.80",55.4,3,No,,,
38,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47409,CM,32,186,78,68,"4,051.30",59.8,5,No,,,
39,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47413,WF,26,166,65,68,"4,024.40",59.4,3,No,,,
40,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47414,CM,30,186,80,68,"4,336.30",64,3,No,,,
41,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47415,CM,27,178,75,67,"3,868.10",57.7,3,No,,,
42,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47416,FB,23,180,82,68,"4,240.90",62.6,3,No,,,
43,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47420,WF,27,164,65,68,"3,805.10",56.1,7,No,,,
44,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47422,FB,34,173,86,68,"4,134.30",61,4,No,,,
45,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47425,FB,30,173,72,68,"3,543.30",52.3,6,No,,,
46,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47426,CF,23,188,82,68,"3,515.40",51.9,6,No,,,
47,20/10/2022,Training,Speed,Full Session,Full Session,20/10/2022 16:00,20/10/2022 18:00,47428,CB,37,180,85,68,"3,877.10",57.2,6,No,,,
45,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47406,CB,30,189,86,60,"3,295.40",54.9,2,No,,,
46,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47407,CB,24,188,89,60,"3,698.40",61.6,3,No,,,
47,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47409,CM,32,186,78,60,"3,800.70",63.3,5,No,,,
48,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47410,WF,29,185,80,60,"3,336.00",55.6,5,No,,,
49,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47411,CAM,25,186,84,60,"3,874.40",64.6,3,No,,,
50,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47413,WF,26,166,65,60,"3,735.20",62.3,3,No,,,
51,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47414,CM,30,186,80,60,"3,736.40",62.3,2,No,,,
52,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47415,CM,27,178,75,60,"3,457.70",57.6,2,No,,,
53,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47416,FB,23,180,82,60,"3,693.10",61.6,2,No,,,
54,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47420,WF,27,164,65,60,"3,772.70",62.9,5,No,,,
55,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47422,FB,34,173,86,60,"3,390.50",56.5,2,No,,,
56,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47423,CB,36,173,78,60,"3,383.30",56.4,2,No,,,
57,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47425,FB,30,173,72,60,"3,518.70",58.6,5,No,,,
58,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47426,CF,23,188,82,60,"2,378.20",39.6,6,No,,,
59,21/10/2022,Training,Activation ,Full Session,Full Session,21/10/2022 13:30,21/10/2022 15:14,47428,CB,37,180,85,60,"3,541.30",59,3,No,,,
32,24/10/2022,Training,Recovery,Full Session,Full Session,24/10/2022 09:00,24/10/2022 09:44,47406,CB,30,189,86,40,"2,061.40",51.5,3,No,,,
33,24/10/2022,Training,Recovery,Full Session,Full Session,24/10/2022 09:00,24/10/2022 10:00,47407,CB,24,188,89,55,"5,568.30",101.2,5,No,,,
34,24/10/2022,Training,Recovery,Full Session,Full Session,24/10/2022 09:00,24/10/2022 09:44,47409,CM,32,186,78,40,"1,842.80",46,3,No,,,
